timestamp,device_id,port,current,voltage,power,charge_status
2026-01-18 08:49:16,418351,12,82,23200,9.6,1
2026-01-18 08:50:03,423297,1,13,23220,0.0,0
2026-01-18 08:50:03,423297,2,6,23220,0.0,0
2026-01-18 08:50:03,423297,3,5,23220,0.0,0
2026-01-18 08:50:03,423297,4,5,23220,0.0,0
2026-01-18 08:50:03,423297,5,4,23220,0.0,0
2026-01-18 08:50:03,423297,6,4,23220,0.0,0
2026-01-18 08:50:03,423297,7,4,23220,0.0,0
2026-01-18 08:50:03,423297,8,289,23270,36.4,1
2026-01-18 08:50:03,423297,9,4,23220,0.0,0
2026-01-18 08:50:03,423297,10,4,23220,0.0,0
2026-01-18 08:50:03,423297,11,0,23160,0.0,0
2026-01-18 08:50:03,423297,12,0,23160,0.0,0
2026-01-18 08:50:03,417598,1,13,23310,0.0,0
2026-01-18 08:50:03,417598,2,6,23330,0.0,0
2026-01-18 08:50:03,417598,3,617,23320,95.3,1
2026-01-18 08:50:03,417598,4,5,23310,0.0,0
2026-01-18 08:50:03,417598,5,5,23310,0.0,0
2026-01-18 08:50:03,417598,6,4,23310,0.0,0
2026-01-18 08:50:03,417598,7,4,23310,0.0,0
2026-01-18 08:50:03,417598,8,4,23310,0.0,0
2026-01-18 08:50:03,417598,9,4,23310,0.0,0
2026-01-18 08:50:03,417598,10,4,23310,0.0,0
2026-01-18 08:50:03,417598,11,0,23180,0.0,0
2026-01-18 08:50:03,417598,12,0,23180,0.0,0
2026-01-18 08:50:03,418297,1,13,23220,0.0,0
2026-01-18 08:50:03,418297,2,6,23220,0.0,0
2026-01-18 08:50:03,418297,3,5,23220,0.0,0
2026-01-18 08:50:03,418297,4,5,23220,0.0,0
2026-01-18 08:50:03,418297,5,5,23220,0.0,0
2026-01-18 08:50:03,418297,6,4,23220,0.0,0
2026-01-18 08:50:03,418297,7,4,23220,0.0,0
2026-01-18 08:50:03,418297,8,118,23220,13.1,1
2026-01-18 08:50:03,418297,9,919,23220,146.1,1
2026-01-18 08:50:03,418297,10,4,23220,0.0,0
2026-01-18 08:50:03,418297,11,0,23170,0.0,0
2026-01-18 08:50:03,418297,12,436,23170,76.1,1
2026-01-18 08:50:03,418351,1,14,23200,0.0,0
2026-01-18 08:50:03,418351,2,6,23200,0.0,0
2026-01-18 08:50:03,418351,3,6,23230,0.0,0
2026-01-18 08:50:03,418351,4,584,23290,85.8,1
2026-01-18 08:50:03,418351,5,5,23200,0.0,0
2026-01-18 08:50:03,418351,6,711,23290,106.4,1
2026-01-18 08:50:03,418351,7,4,23200,0.0,0
